"","Code","Date","Time.x","Day","Station","Min Delay","Min Gap","Bound","Line","Vehicle","Code Description","Hour","Time Category","datetime","datetime_floor","Time.y","temperature_2m","precipitation"
"13756","PUOPO",2024-05-25,12:21:00,"Saturday","YORK UNIVERSITY STATIO",0,0,"S","YU",6076,"OPTO (COMMS) Train Door Monitoring",12,"Non-Peak",NA,NA,"12:00",12.9,0
"13757","PUOPO",2024-12-07,06:14:00,"Saturday","BAYVIEW STATION",0,0,"E","SHP",6176,"OPTO (COMMS) Train Door Monitoring",6,"Non-Peak",NA,NA,"06:00",-0.5,0
"13758","PUOPO",2024-02-23,01:51:00,"Friday","QUEEN STATION",11,17,"N","YU",5956,"OPTO (COMMS) Train Door Monitoring",1,"Non-Peak",NA,NA,"01:00",3.5,0
"13759","PUOPO",2024-11-03,09:24:00,"Sunday","DAVISVILLE STATION",0,0,"N","YU",5731,"OPTO (COMMS) Train Door Monitoring",9,"Peak",NA,NA,NA,NA,NA
"13760","PUOPO",2024-01-25,09:04:00,"Thursday","SHEPPARD STATION",0,0,"N","YU",5761,"OPTO (COMMS) Train Door Monitoring",9,"Peak",NA,NA,NA,NA,NA
"13761","PUOPO",2024-08-12,18:25:00,"Monday","SUMMERHILL STATION",0,0,"N","YU",5851,"OPTO (COMMS) Train Door Monitoring",18,"Peak",NA,NA,"18:00",22.3,0
"13762","PUOPO",2024-08-07,17:48:00,"Wednesday","NORTH YORK CTR STATION",3,6,"S","YU",6016,"OPTO (COMMS) Train Door Monitoring",17,"Peak",NA,NA,"17:00",20.4,0
"13763","PUOPO",2024-01-13,08:32:00,"Saturday","DUPONT STATION",3,9,"S","YU",6106,"OPTO (COMMS) Train Door Monitoring",8,"Peak",NA,NA,NA,NA,NA
"13764","PUOPO",2024-02-06,06:46:00,"Tuesday","DAVISVILLE STATION",0,0,"S","YU",5936,"OPTO (COMMS) Train Door Monitoring",6,"Non-Peak",NA,NA,"06:00",-0.4,0
"13765","PUOPO",2024-02-26,07:28:00,"Monday","NORTH YORK CTR STATION",8,11,"S","YU",5586,"OPTO (COMMS) Train Door Monitoring",7,"Peak",NA,NA,"07:00",2.7,0
"13766","PUOPO",2024-12-14,06:41:00,"Saturday","QUEEN'S PARK STATION",5,11,"N","YU",5896,"OPTO (COMMS) Train Door Monitoring",6,"Non-Peak",NA,NA,"06:00",-4.3,0
"13767","PUOPO",2024-02-21,20:47:00,"Wednesday","DUNDAS STATION",5,10,"N","YU",5841,"OPTO (COMMS) Train Door Monitoring",20,"Non-Peak",NA,NA,"20:00",5.4,0
"13768","PUOPO",2024-04-17,05:41:00,"Wednesday","NORTH YORK CTR STATION",4,8,"S","YU",6046,"OPTO (COMMS) Train Door Monitoring",5,"Non-Peak",NA,NA,"05:00",6.1,0
"13769","PUOPO",2024-06-24,08:53:00,"Monday","FINCH WEST STATION",0,0,"N","YU",5616,"OPTO (COMMS) Train Door Monitoring",8,"Peak",NA,NA,NA,NA,NA
"13770","PUOPO",2024-02-09,09:08:00,"Friday","FINCH STATION",0,0,"S","YU",5771,"OPTO (COMMS) Train Door Monitoring",9,"Peak",NA,NA,NA,NA,NA
"13771","PUOPO",2024-02-09,09:13:00,"Friday","NORTH YORK CTR STATION",3,6,"S","YU",5771,"OPTO (COMMS) Train Door Monitoring",9,"Peak",NA,NA,NA,NA,NA
"13772","PUOPO",2024-04-12,07:21:00,"Friday","HIGHWAY 407 STATION",4,7,"S","YU",5421,"OPTO (COMMS) Train Door Monitoring",7,"Peak",NA,NA,"07:00",6.4,2.1
"13773","PUOPO",2024-05-10,17:49:00,"Friday","LAWRENCE STATION",13,16,"N","YU",5616,"OPTO (COMMS) Train Door Monitoring",17,"Peak",NA,NA,"17:00",8.9,0
"13774","PUOPO",2024-11-21,01:00:00,"Thursday","SHEPPARD WEST STATION",6,12,"N","YU",5586,"OPTO (COMMS) Train Door Monitoring",1,"Non-Peak",NA,NA,"01:00",9.7,1.1
"13775","PUOPO",2024-11-25,17:30:00,"Monday","SUMMERHILL STATION",5,8,"S","YU",5436,"OPTO (COMMS) Train Door Monitoring",17,"Peak",NA,NA,"17:00",5.4,0
"13776","PUOPO",2024-07-09,18:02:00,"Tuesday","SHEPPARD WEST STATION",0,0,"S","YU",5456,"OPTO (COMMS) Train Door Monitoring",18,"Peak",NA,NA,"18:00",20.8,0
"13777","PUOPO",2024-09-21,11:39:00,"Saturday","SUMMERHILL STATION",7,13,"N","YU",5821,"OPTO (COMMS) Train Door Monitoring",11,"Non-Peak",NA,NA,"11:00",19.2,0
"13778","PUOPO",2024-10-03,12:48:00,"Thursday","BLOOR STATION",0,0,"N","YU",5506,"OPTO (COMMS) Train Door Monitoring",12,"Non-Peak",NA,NA,"12:00",15.6,0
"13779","PUOPO",2024-03-03,20:09:00,"Sunday","BAYVIEW STATION",0,0,"W","SHP",5616,"OPTO (COMMS) Train Door Monitoring",20,"Non-Peak",NA,NA,"20:00",3.8,0
"13780","PUOPO",2024-09-12,12:53:00,"Thursday","LESLIE STATION",7,14,"W","SHP",6156,"OPTO (COMMS) Train Door Monitoring",12,"Non-Peak",NA,NA,"12:00",19.5,0
"13781","PUOPO",2024-05-12,15:43:00,"Sunday","VAUGHAN MC STATION",0,0,NA,"YU",5616,"OPTO (COMMS) Train Door Monitoring",15,"Peak",NA,NA,"15:00",11.8,0.1
"13782","PUOPO",2024-04-23,00:00:00,"Tuesday","MUSEUM STATION",4,9,"N","YU",5956,"OPTO (COMMS) Train Door Monitoring",0,"Non-Peak",NA,NA,"00:00",7.3,0
"13783","PUOPO",2024-05-09,07:21:00,"Thursday","VAUGHAN MC STATION",0,0,"S","YU",5696,"OPTO (COMMS) Train Door Monitoring",7,"Peak",NA,NA,"07:00",7.5,0
"13784","PUOPO",2024-02-29,16:22:00,"Thursday","WELLESLEY STATION",0,0,"S","YU",5461,"OPTO (COMMS) Train Door Monitoring",16,"Peak",NA,NA,"16:00",-4.2,0
"13785","PUOPO",2024-11-23,22:48:00,"Saturday","ST CLAIR STATION",6,12,"N","YU",5441,"OPTO (COMMS) Train Door Monitoring",22,"Non-Peak",NA,NA,"22:00",7.5,0
"13786","PUOPO",2024-11-29,10:53:00,"Friday","DUNDAS STATION",9,14,"N","YU",5696,"OPTO (COMMS) Train Door Monitoring",10,"Non-Peak",NA,NA,"10:00",1.4,0
"13787","PUOPO",2024-08-13,07:50:00,"Tuesday","YORK MILLS STATION",16,19,"N","YU",6091,"OPTO (COMMS) Train Door Monitoring",7,"Peak",NA,NA,"07:00",18.5,0
"13788","PUOPO",2024-05-12,18:33:00,"Sunday","GLENCAIRN STATION",0,0,"S","YU",5711,"OPTO (COMMS) Train Door Monitoring",18,"Peak",NA,NA,"18:00",10.1,0.1
"13789","PUOPO",2024-04-05,00:00:00,"Friday","NORTH YORK CTR STATION",7,13,"S","YU",5956,"OPTO (COMMS) Train Door Monitoring",0,"Non-Peak",NA,NA,"00:00",2.3,0.2
"13790","PUOPO",2024-09-27,14:06:00,"Friday","YORKDALE STATION",20,24,"S","YU",5996,"OPTO (COMMS) Train Door Monitoring",14,"Non-Peak",NA,NA,"14:00",18.2,0
"13791","PUOPO",2024-05-09,10:57:00,"Thursday","VAUGHAN MC STATION",0,0,"S","YU",5646,"OPTO (COMMS) Train Door Monitoring",10,"Non-Peak",NA,NA,"10:00",7.3,0
"13792","PUOPO",2024-03-04,08:20:00,"Monday","DOWNSVIEW PARK STATION",0,0,"S","YU",6061,"OPTO (COMMS) Train Door Monitoring",8,"Peak",NA,NA,NA,NA,NA
"13793","PUOPO",2024-01-07,12:06:00,"Sunday","WILSON STATION",6,10,"N","YU",5906,"OPTO (COMMS) Train Door Monitoring",12,"Non-Peak",NA,NA,"12:00",-2.1,0.2
"13794","PUOPO",2024-01-22,19:57:00,"Monday","SHEPPARD WEST STATION",9,12,"N","YU",5906,"OPTO (COMMS) Train Door Monitoring",19,"Non-Peak",NA,NA,"19:00",-0.3,0
"13795","PUOPO",2024-06-19,08:23:00,"Wednesday","SHEPPARD STATION",4,7,"S","YU",5706,"OPTO (COMMS) Train Door Monitoring",8,"Peak",NA,NA,NA,NA,NA
"13796","PUOPO",2024-04-29,15:43:00,"Monday","SHEPPARD STATION",3,8,"S","YU",5951,"OPTO (COMMS) Train Door Monitoring",15,"Peak",NA,NA,"15:00",6.1,0
"13797","PUOPO",2024-05-13,01:21:00,"Monday","SHEPPARD STATION",0,0,"N","YU",5381,"OPTO (COMMS) Train Door Monitoring",1,"Non-Peak",NA,NA,"01:00",10.5,0
"13798","PUOPO",2024-07-08,07:04:00,"Monday","NORTH YORK CTR STATION",3,6,"S","YU",6016,"OPTO (COMMS) Train Door Monitoring",7,"Peak",NA,NA,"07:00",19.8,0
"13799","PUOPO",2024-05-29,07:11:00,"Wednesday","LAWRENCE WEST STATION",5,8,"S","YU",5686,"OPTO (COMMS) Train Door Monitoring",7,"Peak",NA,NA,"07:00",13,0
"13800","PUOPO",2024-05-23,15:40:00,"Thursday","ST GEORGE YUS STATION",4,9,"N","YU",6046,"OPTO (COMMS) Train Door Monitoring",15,"Peak",NA,NA,"15:00",13.8,0
"13801","PUOPO",2024-04-29,15:49:00,"Monday","YORK MILLS STATION",4,9,"S","YU",5951,"OPTO (COMMS) Train Door Monitoring",15,"Peak",NA,NA,"15:00",6.1,0
"13802","PUOPO",2024-07-13,13:24:00,"Saturday","SUMMERHILL STATION",3,8,"N","YU",5946,"OPTO (COMMS) Train Door Monitoring",13,"Non-Peak",NA,NA,"13:00",20.8,0
"13803","PUOPO",2024-11-06,09:52:00,"Wednesday","UNION STATION",3,6,"N","YU",5736,"OPTO (COMMS) Train Door Monitoring",9,"Peak",NA,NA,NA,NA,NA
"13804","PUOPO",2024-08-12,07:27:00,"Monday","WILSON STATION",4,7,"S","YU",5731,"OPTO (COMMS) Train Door Monitoring",7,"Peak",NA,NA,"07:00",16.6,0
"13805","PUOPO",2024-01-31,08:43:00,"Wednesday","FINCH STATION",0,0,"S","YU",5831,"OPTO (COMMS) Train Door Monitoring",8,"Peak",NA,NA,NA,NA,NA
